ID,title,text,label,X1,X2
1,US and UK have selected PM Modi to lead a coronavirus task force,18 nations including the United States and the United Kingdom want Prime Minister Narendra Modi to lead a task force to tackle the coronavirus pandemic.,FAKE,,
2,Thorough hand-washing with an ordinary soap is effective in killing coronavirus (COVID-19),"Soap and water alone, when used as per the WHO handwashing guidelines, are effective and easy for killing coronavirus. ",REAL,,
3,Places most affected by coronavirus situated on latitude 40°,Places most affected by coronavirus situated on latitude 40°,FAKE,,
4,More immunity in Indian genes,Our bodies have one of the toughest immune systems in the world. We have grown up surrounded by so much filth and pollution that our natural resilience is much stronger than people in the developed world.,FAKE,,
5,Vitamin C and lemon-infused hot water protect against coronavirus or cancer,"The novel coronavirus is the result of a gene fusion between a snake and a bat.Both the HIV virus and the coronavirus spread by direct contact and people should avoid touching the infected.Using a large amount of Vitamin C gets rid of the novel coronavirus.Hot lemon can cure all cancers. The acids and carboxylic acids contained in lemon juice can regulate high blood pressure, protect narrow arteries, regulate blood circulation and reduce blood clotting.There is currently no vaccine and treatment for the novel coronavirus.",FAKE,,
6,Medicine will be sprayed in the air to kill coronavirus,Hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am…As their will be spraying medicine in the air in order to kill the COVID-19!!,FAKE,,
7,Lifespan of coronavirus outside the human body on different surfaces,"1. If the coronavirus falls on a metal surface, it lives for 12 hours.2. If the coronavirus falls on fabric, it survives for 9 hours.3. The coronavirus lives on the hands for 10 minutes.",FAKE,,
8,Social distancing is imperative but 14-hour ‘Janta curfew’ will not break the cycle of infection,"an individual infected with coronavirus can pass on the infection to another person for upto 14 days. Also, the coronavirus could be detected up to 2-3 days on plastic and stainless steel surfaces. The results from this study indicate that the coronavirus can be transmitted through aerosols (clusters of the virus in the air) aerosol and fomites (objects such as plastic, steel, other metals contaminated with the virus) are plausible, as the virus can remain viable in aerosols for multiple hours and on surfaces up to days. Hence, a 14 hour self-imposed curfew cannot break the cycle of infection as it is being claimed on social media. Despite the fact that the curfew will not break the cycle of infection as the Coronavirus still persists 2-3 days later on surfaces, the social lockdown is an effective strategy for reducing new infections that ‘flattens the curve’",REAL,,
9,Putin has  left 800 lions on Russian streets to ensure lockdown during COVID-19 pandemic,Vladimir Putin has given Russians two options.You stay at home for 2 weeks or you go to jail for 5years.No middle ground.RUSSIA: Vladimir Putin has Dropped 800 tigers and Lions all over the Country to push people to stay Home.. Stay Safe Everyone!!,FAKE,,
10,Vaccine For Corona Virus Ready.,"Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists. Right now Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it",FAKE,,
11,Dr Ramesh Gupta’s zoology book mention a cure for novel coronavirus,WHO you have not gone through the book of 12th standard written by Dr Ramesh Chand Gupta where he has mentioned about coronavirus so this is not a recent disease and he mentioned the cure too.,FAKE,,
12,Ooty-Coimbatore road is reclaimed by its original owners.,Deers  turn up on Ooty-Coimbatore road as COVID-19 lockdown restricts human activity,FAKE,,
13,Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19),"You can catch COVID-19, no matter how sunny or hot the weather is. Countries with hot weather have reported cases of COVID-19. To protect yourself, make sure you clean your hands frequently and thoroughly and avoid touching your eyes, mouth, and nose.  ",REAL,,
14,"Doctors, nurses at NDMC hospital quarantined","NEW DELHI: As many as 30 members of the medical staff, including doctors and nurses, were sent to home quarantine after a sanitation worker employed at New Delhi Municipal Council (NDMC)’s Charak Palika Hospital tested positive for novel coronavirus.",REAL,,
15,Government funded start-up working on rapid test kit,"A healthcare start-up funded by the Department of Science & Technology (DST), which has been working on a testing (https://timesofindia.indiatimes.com/topic/testing) kit technology that can speed up the testing process for Covid-19.
“Module Innovations, a healthcare startup is building on its platform technology for rapid diagnosis of diseases to develop a product (https://timesofindia.indiatimes.com/topic/product) for detecting Covid-19 with a 10-15 minute test,” the DST said.",REAL,,
16,"Covid-19: FIFA recommends extending contracts, will allow transfer windows to move","FIFA has recommended extending players' contracts which were due to end in June and said it will allow transfer windows to be moved to allow for extensions to the current European season caused by the COVID-19 pandemic, it said Tuesday.",REAL,,
17,Shoaib Akhtar Bats For India-Pak Series To Raise Funds For Fight Against COVID-19 pandemic,Former Pakistan sppedster Shoaib Akhtar on Wednesday proposed a 3-match ODI series against arch-rivals India to raise funds for the battle against the COVID-19 pandemic in both the sub continent countries.,REAL,,
18,Coronavirus: WhatsApp Puts New Limits On Forwarding Of Viral Messages To Curb FAKE News,"As the government served WhatsApp with a second notice asking it to check the spread of FAKE and provocative content, the Facebook-owned platform has said it is launching a test to limit forwarding that will apply to everyone in India. ""In India where people forward more messages, photos, and videos than any other country in the world, we'll also test a lower limit of 5 chats at once.",REAL,,
19,Netflix offers free subscription to all users worldwide,Due to coronavirus pandemic worldwide netflix is giving some free pass for their platform during the period of isolation . Run on the site cause it will end quickly.,FAKE,,
20,"Centre Approves Fully Funded COVID-19 Emergency Package For States, UTs",The Centre on Wednesday approved a centrally funded 'India COVID-19 Emergency Response and Health System Preparedness Package' with the objective of strengthening national and state health systems.,REAL,,
21,Wuhan to keep testing residents even as lockdown eases,"Post a two-month lock down, the country is wary of a rebound in cases even as it sets its sights on normalising the economy.",REAL,,
22,Jakarta imposes partial lockdown,Soldiers and police hit the streets of Indonesia's capital Jakarta to enforce its toughest virus measures yet as infections surged and critics warned of a looming crisis.,REAL,,
23,Kazakhstan to extend emergency to end of April,"The state of emergency, which has allowed the government to lock down all provinces and major cities and shut down many businesses, was originally due to end on April 15.",REAL,,
24,India swipe at Pak for insisting on bringing COVID-19 initiatives under SAARC framework,"India on Friday said the degree of seriousness of each member nation of the SAARC in collectively fighting the coronavirus pandemic can be gauged by their behaviour, in a clear reference to Pakistan's opposition to New Delhi's leadership in dealing with the crisis in the region.",REAL,,
25,India swipe at Pak for insisting on bringing COVID-19 initiatives under SAARC framework,India's reaction came a day after Pakistan pledged to contribute USD 3 million to the SAARC Coronavirus Emergency Fund as proposed by Prime Minister Narendra Modi but demanded that any initiative to deal with the situation must be brought under the bloc's framework.,REAL,,
26,US lawmakers urge China to shut down 'wet markets' amid coronavirus crisis,"Amidst the coronavirus pandemic, a bipartisan group of top US lawmakers have urged China to urgently shut down all of its operating wet markets as that have a potential to expose humans to health risks through the introduction of zoonotic disease.A wet market sells fresh meat, fish, produce, and other perishable goods as distinguished from ""dry markets"". It gets its name from the floors being constantly wet from the spraying of fresh produce and cleaning of meat and seafood stalls.",REAL,,
27,US lawmakers urge EUROPE to shut down 'wet markets' amid coronavirus crisis,"Amidst the coronavirus pandemic, a bipartisan group of top US lawmakers have urged EUROPEAN COUNTRIES to urgently shut down all of its operating wet markets as that have a potential to expose humans to health risks through the introduction of zoonotic disease.",FAKE,,
28,"NBFCs to face liquidity pressure on lack of clarity on RBI's moratorium, poor collection","Non-banking finance companies are likely to face liquidity challenges due to lack of clarity on the applicability of the Reserve Bank's moratorium on their bank loans and poor collection due to the nationwide lockdown, says a report.",REAL,,
29,Sanofi will donate 100 million doses of hydroxychloroquine to 50 countries,"French pharmaceutical giant Sanofi said Friday it had decided to donate 100 million doses of hydroxychloroquine, the decades-old anti-malaria drug touted by some as a potential weapon against the novel coronavirus, across 50 countries.",REAL,,
30,India to export hydroxychloroquine only to foreign governments and not to pvt companies,"India will export anti-malarial drug hydroxychloroquine, high in demand globally, only to foreign governments and not to private companies, as the product is under prohibited or banned category of exports, sources said. Although exports of this medicine is completely banned, India has decided to export this anti-malarial drug in sync with its global commitment to deal with the coronavirus pandemic.",REAL,,
31,India to export hydroxychloroquine only to pvt companies,"India will export anti-malarial drug hydroxychloroquine, high in demand globally, only  to private companies/",FAKE,,
32,IAF airlifts 3 tonnes of raw material from Mumbai to Bengaluru for production of medical protection kits,"While the nation is battling to contain COVID-19 spread amid the lockdown, the Indian Air Force (IAF) under 'Har Kaam Desh Ke Naam' initiative airlifted 3 tonnes of essential raw material for the production of personal protection equipment (PPE) from Mumbai to Bangalore.",REAL,,
33,Bronx zoo tiger 'Nadia' tests positive for Covid-19 ,"A tiger at New York's Bronx Zoo has tested positive for Covid-19, the institution said Sunday, and is believed to have contracted the virus from a caretaker who was asymptomatic at the time. ",REAL,,
34,"Haryana to pay double salary to government doctors, nurses","The state announced it will pay double salary to doctors, nurses, paramedical staff and others who are at the forefront of the fight.",REAL,,
35,"Haryana to cut down salary to government doctors, nurses","The state announced it will cut the salary of doctors, nurses, paramedical staff and others who are at the forefront of the fight.",FAKE,,
36,Wuhan to end testing residents even as lockdown eases,"After a two month lockdown, the country will end the tests as it has reassured to win the coronavirus",FAKE,,
37,Fuel consumption was never this bad at any point in last decade ,"Fuel consumption in the country had never been this poor at any point during the last 10 years, the first estimate of total petroleum product consumption has revealed. ",REAL,,
38,Fuel consumption has hit a record high at any point in last decade ,"Fuel consumption in the country had never been this extreme at any point during the last 10 years, the first estimate of total petroleum product consumption has revealed. ",FAKE,,
